transaction_id,account_id,currency,transaction_type,amount,transaction_ts
41,999,EUR,purchase,1356.28,2025-07-03 16:15:45
42,6,EUR,purchase,4886.55,2025-06-12 11:25:37
43,9,EUR,transfer,5985.45,2025-05-14 19:39:46
44,1,RUB,withdrawal,1604.34,2025-04-16 17:39:39
45,6,EUR,transfer,3285.27,2025-04-25 09:17:01
46,10,RUB,withdrawal,3624.15,2025-05-30 06:38:55
47,11,USD,transfer,6725.32,2025-05-13 23:09:51
48,10,RUB,transfer,2317.75,2025-06-30 10:19:04
49,1,RUB,purchase,4699.6,2025-02-09 15:44:05
50,5,EUR,withdrawal,9328.75,2025-03-27 09:48:07
51,10,RUB,transfer,9848.45,2025-05-09 02:46:13
52,5,EUR,transfer,8517.54,2025-05-27 20:39:12
53,1,RUB,transfer,8522.39,2025-02-01 15:27:00
54,12,EUR,transfer,4942.96,2025-07-18 10:16:46
55,11,USD,purchase,8420.16,2025-07-02 05:55:13
56,4,EUR,purchase,1359.53,2025-06-19 07:33:53
57,1,RUB,transfer,9897.43,2025-02-01 18:11:51
58,10,RUB,withdrawal,1809.15,2025-07-26 13:36:03
59,12,EUR,purchase,7303.56,2025-07-31 09:23:10
60,6,EUR,withdrawal,7310.43,2025-05-02 06:09:55
61,8,USD,purchase,-8441.77,2025-08-02 05:19:12
62,8,USD,purchase,2566.26,2025-05-01 00:13:29
63,10,RUB,purchase,-4342.32,2025-08-10 17:11:38
64,7,RUB,withdrawal,8693.48,2025-04-15 23:45:20
65,9,EUR,purchase,7805.62,2025-06-17 08:04:00
66,3,USD,withdrawal,8921.73,2025-03-25 05:09:26
67,5,EUR,transfer,9135.08,2025-04-18 14:05:58
68,1,RUB,withdrawal,1680.21,2025-02-25 22:09:32
69,8,USD,transfer,7720.08,2025-06-10 17:11:06
70,9,EUR,purchase,532.9,2025-07-16 19:00:53
71,7,RUB,transfer,4548.11,2025-03-30 10:01:22
72,3,USD,purchase,5646.12,2025-05-17 20:57:51
73,11,USD,purchase,2116.08,2025-06-18 00:09:24
74,9,EUR,withdrawal,8655.24,2025-05-21 23:50:35
75,999,EUR,transfer,6098.83,2025-09-03 16:44:08
76,1,RUB,transfer,3240.59,2025-01-20 16:54:19
77,3,USD,purchase,608.25,2025-05-31 03:45:32
78,3,USD,withdrawal,9665.28,2025-05-14 21:01:19
79,1,RUB,purchase,4629.27,2025-02-13 04:23:25
80,2,RUB,withdrawal,8281.46,2025-04-09 09:59:17
81,9,EUR,withdrawal,9415.91,2025-08-20 15:34:59
82,999,EUR,purchase,9516.03,2025-05-28 19:52:52
83,2,RUB,withdrawal,1650.75,2025-05-29 15:54:16
84,1,RUB,withdrawal,3531.32,2025-03-05 21:02:49
85,10,RUB,withdrawal,2674.58,2025-05-16 06:12:56
86,6,EUR,purchase,2011.72,2025-05-26 23:37:41
87,3,USD,transfer,8913.26,2025-06-05 10:19:49
88,999,USD,withdrawal,-697.26,2025-04-13 11:27:05
89,999,EUR,transfer,1150.41,2025-06-10 14:37:24
90,9,EUR,withdrawal,323.6,2025-04-22 23:27:19
91,999,EUR,purchase,1497.06,2025-05-30 19:26:41
92,8,USD,transfer,673.31,2025-06-24 15:40:12
93,7,RUB,purchase,6893.03,2025-06-09 23:13:43
94,6,EUR,withdrawal,6619.66,2025-04-27 07:08:35
95,6,EUR,withdrawal,7872.47,2025-03-21 18:58:28
96,12,EUR,purchase,9029.75,2025-06-16 05:05:35
97,2,RUB,purchase,1297.65,2025-04-12 12:48:26
98,5,EUR,transfer,1685.12,2025-06-25 23:17:56
99,8,USD,transfer,6889.21,2025-05-24 19:37:37
100,1,RUB,purchase,6061.95,2025-03-27 18:10:01
